,Diagnosis_(DX),Chief_Sign,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10
707,drugs,low platelet count,decreased_production,ineffective_megakaryopoiesis,dx,,,,,,,
708,hellp_syndrome,low platelet count,increased_destruction,non-immune,dx,,,,,,,
709,ttp/hus,low platelet count,increased_destruction,non-immune,dx,,,,,,,
710,dic,low platelet count,increased_destruction,non-immune,dx,,,,,,,
711,vasculitis,low platelet count,increased_destruction,non-immune,dx,,,,,,,
712,infection,low platelet count,increased_destruction,non-immune,dx,,,,,,,
713,foreign_surface,low platelet count,increased_destruction,non-immune,dx,,,,,,,
714,itp,low platelet count,increased_destruction,immune,autoinmmune,dx,,,,,,
715,sle,low platelet count,increased_destruction,immune,autoinmmune,dx,,,,,,
716,cll,low platelet count,increased_destruction,immune,autoinmmune,dx,,,,,,
717,apla,low platelet count,increased_destruction,immune,autoinmmune,dx,,,,,,
718,anti-hla_antibodies,low platelet count,increased_destruction,immune,alloimmune,dx,,,,,,
719,quinidine,low platelet count,increased_destruction,immune,drugs,dx,,,,,,
720,hit,low platelet count,increased_destruction,immune,drugs,dx,,,,,,
721,others,low platelet count,increased_destruction,immune,drugs,dx,,,,,,
722,artifact_(redo_cbc),thrombocytosis,spurious_,dx,,,,,,,,
723,essential_thrombocytosis,thrombocytosis,autonomous,dx,,,,,,,,
724,polycythemia_vera,thrombocytosis,autonomous,dx,,,,,,,,
725,chronic_myelogenous_leukemia,thrombocytosis,autonomous,dx,,,,,,,,
726,primary_myelofibrosis,thrombocytosis,autonomous,dx,,,,,,,,
727,acute_or_chronic,thrombocytosis,reactive,infectious,dx,,,,,,,
728,ibd,thrombocytosis,reactive,inflammatory,dx,,,,,,,
729,rheumatic_disorders,thrombocytosis,reactive,inflammatory,dx,,,,,,,
730,celiac_disease,thrombocytosis,reactive,inflammatory,dx,,,,,,,
731,post-op_surgery,thrombocytosis,reactive,tissue_damage,dx,,,,,,,
732,trauma,thrombocytosis,reactive,tissue_damage,dx,,,,,,,
733,burns,thrombocytosis,reactive,tissue_damage,dx,,,,,,,
734,rebound_effect_following_treatment_of_itp,thrombocytosis,reactive,non_malignant_hematologic_conditions,dx,,,,,,,
735,rebound_effect_following_etoh_induced_thrombocytopenia,thrombocytosis,reactive,non_malignant_hematologic_conditions,dx,,,,,,,
736,post-splenectomy_or_hyposplenic_states,thrombocytosis,reactive,other,dx,,,,,,,
737,non-hematologic_malignacy,thrombocytosis,reactive,other,dx,,,,,,,
738,iron_deficiency_anemia,thrombocytosis,reactive,other,dx,,,,,,,
739,warm_aiha,hemolysis,extravascular,extrinsic_to_rbc_,immune-mediated,dx,,,,,,
740,cold_aiha,hemolysis,extravascular,extrinsic_to_rbc_,immune-mediated,dx,,,,,,
741,alloimmune_delayed_htr,hemolysis,extravascular,extrinsic_to_rbc_,immune-mediated,dx,,,,,,
742,drug-induced_aiha,hemolysis,extravascular,extrinsic_to_rbc_,immune-mediated,dx,,,,,,
743,thalassemia,hemolysis,extravascular,intrinsic_to_rbc,abnormal_hgb_&_high_defects,dx,,,,,,
744,sickle_cell,hemolysis,extravascular,intrinsic_to_rbc,abnormal_hgb_&_high_defects,dx,,,,,,
745,unstable_hgb,hemolysis,extravascular,intrinsic_to_rbc,abnormal_hgb_&_high_defects,dx,,,,,,
746,hereditary_sphenocytosis,hemolysis,extravascular,intrinsic_to_rbc,membrane_defects,dx,,,,,,
747,hereditary_elliptocytosis,hemolysis,extravascular,intrinsic_to_rbc,membrane_defects,dx,,,,,,
748,g6pd_deficiency,hemolysis,extravascular,intrinsic_to_rbc,rbc_enzyme_defects,dx,,,,,,
749,pk_deficiency,hemolysis,extravascular,intrinsic_to_rbc,rbc_enzyme_defects,dx,,,,,,
750,malaria,hemolysis,intravascular,infections,dx,,,,,,,
751,babesiosis,hemolysis,intravascular,infections,dx,,,,,,,
752,c.perfringens,hemolysis,intravascular,infections,dx,,,,,,,
753,cold_aiha,hemolysis,intravascular,complement-mediated,dx,,,,,,,
754,pch,hemolysis,intravascular,complement-mediated,dx,,,,,,,
755,pnh,hemolysis,intravascular,complement-mediated,dx,,,,,,,
756,drig-induced_immune-complex_hemolytic_anemia,hemolysis,intravascular,complement-mediated,dx,,,,,,,
757,acute_htr,hemolysis,intravascular,complement-mediated,dx,,,,,,,
758,"maha_(ttp,_dic,_hus)",hemolysis,intravascular,medical_shearing,dx,,,,,,,
759,prosthetic_heart_valves,hemolysis,intravascular,medical_shearing,dx,,,,,,,
760,atriovenous_malformations,hemolysis,intravascular,medical_shearing,dx,,,,,,,
761,adhesions_60%,abdominal distention,bowel_dilatation,mechanical_obstruction,dx,,,,,,,
762,volvulus_3%,abdominal distention,bowel_dilatation,mechanical_obstruction,dx,,,,,,,
763,malignacy_20%,abdominal distention,bowel_dilatation,mechanical_obstruction,dx,,,,,,,
764,herniation_10%,abdominal distention,bowel_dilatation,mechanical_obstruction,dx,,,,,,,
765,perotonitis,abdominal distention,bowel_dilatation,pseudo-obstruction,paralytic_ileus,dx,,,,,,
766,post-surgical,abdominal distention,bowel_dilatation,pseudo-obstruction,paralytic_ileus,dx,,,,,,
767,hypothyroidism,abdominal distention,bowel_dilatation,pseudo-obstruction,paralytic_ileus,dx,,,,,,
768,trauma/surgery,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,ogilvies's_syndrome_,dx,,,,,
769,medical_conditions,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,ogilvies's_syndrome_,dx,,,,,
770,drugs,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,ogilvies's_syndrome_,dx,,,,,
771,retroperitoneal_hemorrhage/malignacy,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,ogilvies's_syndrome_,dx,,,,,
772,inflammatory,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,toxic_megacolon,dx,,,,,
773,infectious,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,toxic_megacolon,dx,,,,,
774,ischemic,abdominal distention,bowel_dilatation,pseudo-obstruction,acute_colonic_,toxic_megacolon,dx,,,,,
775,scleroderma,abdominal distention,bowel_dilatation,pseudo-obstruction,chronic_intestinal,myopathic_,dx,,,,,
776,familial_myopathy,abdominal distention,bowel_dilatation,pseudo-obstruction,chronic_intestinal,myopathic_,dx,,,,,
777,enteric,abdominal distention,bowel_dilatation,pseudo-obstruction,chronic_intestinal,neuropathic,dx,,,,,
778,extrinsic,abdominal distention,bowel_dilatation,pseudo-obstruction,chronic_intestinal,neuropathic,dx,,,,,
779,cirrhosis,abdominal distention,ascites,high_albumin_gradient_(saag)*,portal_hypertension_,dx,,,,,,
780,alcoholic_hepatitis,abdominal distention,ascites,high_albumin_gradient_(saag)*,portal_hypertension_,dx,,,,,,
781,portal_vein_thrombus,abdominal distention,ascites,high_albumin_gradient_(saag)*,portal_hypertension_,dx,,,,,,
782,budd-chiari_syndrome,abdominal distention,ascites,high_albumin_gradient_(saag)*,portal_hypertension_,dx,,,,,,
783,congestive_heart_failure,abdominal distention,ascites,high_albumin_gradient_(saag)*,cardiac,dx,,,,,,
784,constrictive_pericarditis,abdominal distention,ascites,high_albumin_gradient_(saag)*,cardiac,dx,,,,,,
785,carcinomatosis,abdominal distention,ascites,low_albumin_gradient_(saag)*,peritoneal,dx,,,,,,
786,infection_(neutrophils>250/cc),abdominal distention,ascites,low_albumin_gradient_(saag)*,peritoneal,dx,,,,,,
787,pancreatitis,abdominal distention,ascites,low_albumin_gradient_(saag)*,other_causes,dx,,,,,,
788,serositis,abdominal distention,ascites,low_albumin_gradient_(saag)*,other_causes,dx,,,,,,
789,nephrotic_syndrome,abdominal distention,ascites,low_albumin_gradient_(saag)*,other_causes,dx,,,,,,
790,pregnacy,abdominal distention,other_causes_,pelvic_mass,dx,,,,,,,
791,fibroids,abdominal distention,other_causes_,pelvic_mass,dx,,,,,,,
792,ovarian_mass,abdominal distention,other_causes_,pelvic_mass,dx,,,,,,,
793,bladder_mass,abdominal distention,other_causes_,pelvic_mass,dx,,,,,,,
794,malignacy,abdominal distention,other_causes_,pelvic_mass,dx,,,,,,,
795,obesity,abdominal distention,other_causes_,pelvic_mass,dx,,,,,,,
796,constipation,abdominal distention,other_causes_,feces/flatus,dx,,,,,,,
797,irritable_bowel_syndrome,abdominal distention,other_causes_,feces/flatus,dx,,,,,,,
798,carbohydrate_malabsorption,abdominal distention,other_causes_,feces/flatus,dx,,,,,,,
799,diet_(lactose_intolerance),abdominal distention,other_causes_,feces/flatus,dx,,,,,,,
800,chronic_obstruction,abdominal distention,other_causes_,feces/flatus,dx,,,,,,,
801,hepatomegaly,abdominal distention,other_causes_,organomegaly,dx,,,,,,,
802,splenomegaly,abdominal distention,other_causes_,organomegaly,dx,,,,,,,
803,hydronephosis,abdominal distention,other_causes_,organomegaly,dx,,,,,,,
804,renal_cytsts,abdominal distention,other_causes_,organomegaly,dx,,,,,,,
805,aortic_aneurysm,abdominal distention,other_causes_,organomegaly,dx,,,,,,,
806,liver,abdominal mass,organomegaly,dx,,,,,,,,
807,spleen,abdominal mass,organomegaly,dx,,,,,,,,
808,kidneys,abdominal mass,organomegaly,dx,,,,,,,,
809,gastrointestinal_tumours,abdominal mass,neoplastic,dx,,,,,,,,
810,gynecologic_tomors,abdominal mass,neoplastic,dx,,,,,,,,
811,lymphoma/sarcoma,abdominal mass,neoplastic,dx,,,,,,,,
812,feces,abdominal mass,other_causes_,dx,,,,,,,,
813,vascular_(abdominal_aortic_aneurysm),abdominal mass,other_causes_,pulsatile,dx,,,,,,,
814,pancreatic_pseudocyst,abdominal mass,other_causes_,pseudoneoplastic,dx,,,,,,,
815,pancreatitis,acute abdominal pain,diffuse,peritonitic,dx,,,,,,,
816,bowel_obstruction,acute abdominal pain,diffuse,peritonitic,dx,,,,,,,
817,viscus_perforation,acute abdominal pain,diffuse,peritonitic,dx,,,,,,,
818,intraperitoneal_hemorrhage_(ruptured_aaa),acute abdominal pain,diffuse,peritonitic,dx,,,,,,,
819,gastroenteritis,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
820,irritable_bowel_syndrome,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
821,constipation,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
822,metabolic_disease,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
823,mesenteric_ischemia,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
824,mesenteric_thrombus,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
825,sickle_cell_anemia,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
826,musculoskeletal,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
827,trauma,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
828,peptic_ulcer_disease,acute abdominal pain,diffuse,non-peritonitic,dx,,,,,,,
829,cholecystitis,acute abdominal pain,localized,upper_quadrant,peritoneal,dx,,,,,,
830,perforated_ulcer,acute abdominal pain,localized,upper_quadrant,peritoneal,dx,,,,,,
831,pancreatitis,acute abdominal pain,localized,upper_quadrant,peritoneal,dx,,,,,,
832,splenic_rupture,acute abdominal pain,localized,upper_quadrant,peritoneal,dx,,,,,,
833,irritable_bowel_syndrome,acute abdominal pain,localized,lower_quadrant,non-peritoneal,dx,,,,,,
834,psoas_abscess,acute abdominal pain,localized,lower_quadrant,non-peritoneal,dx,,,,,,
835,urinary_tract_infections,acute abdominal pain,localized,lower_quadrant,non-peritoneal,dx,,,,,,
836,ureteric_colic,acute abdominal pain,localized,lower_quadrant,non-peritoneal,dx,,,,,,
837,biliary_colic,acute abdominal pain,localized,upper_quadrant,non-peritoneal,right_upper_quadrant,dx,,,,,
838,hepatitis,acute abdominal pain,localized,upper_quadrant,non-peritoneal,right_upper_quadrant,dx,,,,,
839,hepatic_abscess,acute abdominal pain,localized,upper_quadrant,non-peritoneal,right_upper_quadrant,dx,,,,,
840,bowel_obstructions,acute abdominal pain,localized,upper_quadrant,non-peritoneal,right_upper_quadrant,dx,,,,,
841,pyelonephritis,acute abdominal pain,localized,upper_quadrant,non-peritoneal,right_upper_quadrant,dx,,,,,
842,peptic_ulcer_disease,acute abdominal pain,localized,upper_quadrant,non-peritoneal,epigastric,dx,,,,,
843,gastritis,acute abdominal pain,localized,upper_quadrant,non-peritoneal,epigastric,dx,,,,,
844,esophageal_rupture,acute abdominal pain,localized,upper_quadrant,non-peritoneal,epigastric,dx,,,,,
845,biliary_colic,acute abdominal pain,localized,upper_quadrant,non-peritoneal,epigastric,dx,,,,,
846,splenic_infart,acute abdominal pain,localized,upper_quadrant,non-peritoneal,left_upper_quadrant,dx,,,,,
847,splenic_abscess,acute abdominal pain,localized,upper_quadrant,non-peritoneal,left_upper_quadrant,dx,,,,,
848,splenic_rupture,acute abdominal pain,localized,upper_quadrant,non-peritoneal,left_upper_quadrant,dx,,,,,
849,appendicitis,acute abdominal pain,localized,lower_quadrant,peritoneal,bowel,dx,,,,,
850,diverticulitis,acute abdominal pain,localized,lower_quadrant,peritoneal,bowel,dx,,,,,
851,incarcerated_hernia,acute abdominal pain,localized,lower_quadrant,peritoneal,bowel,dx,,,,,
852,ectopic_pregnacy,acute abdominal pain,localized,lower_quadrant,peritoneal,pelvic/adrenal,dx,,,,,
853,ovarian_torsion,acute abdominal pain,localized,lower_quadrant,peritoneal,pelvic/adrenal,dx,,,,,
854,pelvic_inflammatory_disease,acute abdominal pain,localized,lower_quadrant,peritoneal,pelvic/adrenal,dx,,,,,
855,salpingitis,acute abdominal pain,localized,lower_quadrant,peritoneal,pelvic/adrenal,dx,,,,,
856,gastroesophageal_reflux_disease,chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
857,peptic_ulcer_disease,chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
858,chronic_pancreatitis,chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
859,pancreatic_tumor,chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
860,gastric_cancer,chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
861,liver_distention,chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
862,splenic_(very_rare),chronic abdominal pain,constant,upper_quadrant,dx,,,,,,,
863,crohn´s_disease,chronic abdominal pain,constant,lower_quadrant,dx,,,,,,,
864,gynecologic,chronic abdominal pain,constant,lower_quadrant,dx,,,,,,,
865,ascites,chronic abdominal pain,constant,any_location/diffuse,dx,,,,,,,
866,muscle_wall,chronic abdominal pain,constant,any_location/diffuse,dx,,,,,,,
867,neuropathic_pain,chronic abdominal pain,constant,any_location/diffuse,dx,,,,,,,
868,somatization,chronic abdominal pain,constant,any_location/diffuse,dx,,,,,,,
869,biliary_colic/cholelithiasis,chronic abdominal pain,cramping/fleeting,upper_quadrant,dx,,,,,,,
870,choledocholithiasis,chronic abdominal pain,cramping/fleeting,upper_quadrant,dx,,,,,,,
871,sphincter_of_oddi_dysfunction,chronic abdominal pain,cramping/fleeting,upper_quadrant,dx,,,,,,,
872,renal_colic,chronic abdominal pain,cramping/fleeting,upper_quadrant,dx,,,,,,,
873,bloating,chronic abdominal pain,cramping/fleeting,lower_quadrant,dx,,,,,,,
874,renal_colic,chronic abdominal pain,cramping/fleeting,lower_quadrant,dx,,,,,,,
875,irritable_bowel_syndrome,chronic abdominal pain,cramping/fleeting,lower_quadrant,dx,,,,,,,
876,bowel_obstruction,chronic abdominal pain,cramping/fleeting,any_location/diffuse,dx,,,,,,,
877,irritable_bowel_syndrome,chronic abdominal pain,cramping/fleeting,any_location/diffuse,dx,,,,,,,
878,biliary_colic/cholelithiasis,chronic abdominal pain,post-prandial,upper_quadrant,dx,,,,,,,
879,gastroesophageal_reflux_disease,chronic abdominal pain,post-prandial,upper_quadrant,dx,,,,,,,
880,peptic_ulcer_disease/dyspepsia,chronic abdominal pain,post-prandial,upper_quadrant,dx,,,,,,,
881,gastric_cancer,chronic abdominal pain,post-prandial,upper_quadrant,dx,,,,,,,
882,chronic_pancreatitis,chronic abdominal pain,post-prandial,upper_quadrant,dx,,,,,,,
883,obstructing_colon_cancer,chronic abdominal pain,post-prandial,upper_quadrant,dx,,,,,,,
884,obstructing_colon_cancer,chronic abdominal pain,post-prandial,lower_quadrant,dx,,,,,,,
885,bowel_obstruction,chronic abdominal pain,post-prandial,any_location/diffuse,dx,,,,,,,
886,mesenteric_angina,chronic abdominal pain,post-prandial,any_location/diffuse,dx,,,,,,,
887,proctalgia,anorectal pain,diagnosis_of_exlusion,dx,,,,,,,,
888,inflammation,anorectal pain,internal_lesion,proctitis,dx,,,,,,,
889,infection_(including_sexually_transmitted),anorectal pain,internal_lesion,proctitis,dx,,,,,,,
890,malignacy,anorectal pain,internal_lesion,other,dx,,,,,,,
891,solitary_rectal_ulcer,anorectal pain,internal_lesion,other,dx,,,,,,,
892,dermatitis,anorectal pain,external_lesion,dermatologic,dx,,,,,,,
893,psoriasis,anorectal pain,external_lesion,dermatologic,dx,,,,,,,
894,fissure,anorectal pain,external_lesion,anorectal_disease,dx,,,,,,,
895,fistula/abscess_(crohn´s),anorectal pain,external_lesion,anorectal_disease,dx,,,,,,,
896,hermorrhoid,anorectal pain,external_lesion,anorectal_disease,dx,,,,,,,
897,bacillus_cereus,acute diarrhea,infectious,nausea/vomiting_predominant,dx,,,,,,,
898,staphylococcus_aureus,acute diarrhea,infectious,nausea/vomiting_predominant,dx,,,,,,,
899,viral,acute diarrhea,infectious,diarrhea_predominant,watery/large_volume,dx,,,,,,
900,bacterial,acute diarrhea,infectious,diarrhea_predominant,watery/large_volume,dx,,,,,,
901,parastic,acute diarrhea,infectious,diarrhea_predominant,watery/large_volume,dx,,,,,,
902,"driugs_(antibiotics,_laxatives,_antacids)",acute diarrhea,infectious,diarrhea_predominant,watery/large_volume,dx,,,,,,
903,toxins,acute diarrhea,infectious,diarrhea_predominant,watery/large_volume,dx,,,,,,
904,bacterial,acute diarrhea,infectious,diarrhea_predominant,bloody/pain/small_volume_/urgency,dx,,,,,,
905,parasitic,acute diarrhea,infectious,diarrhea_predominant,bloody/pain/small_volume_/urgency,dx,,,,,,
906,crohn´s_ileitis,acute diarrhea,inflammatory,non-bloody,dx,,,,,,,
907,crohn´s_colitis,acute diarrhea,inflammatory,non-bloody,dx,,,,,,,
908,ulcerative_colitis,acute diarrhea,inflammatory,bloody,dx,,,,,,,
909,crohn´s_colitis,acute diarrhea,inflammatory,bloody,dx,,,,,,,
910,dietary,acute diarrhea,dx,,,,,,,,,
911,irritable_bowel_syndrome,chronic diarrhea,small_bowel,disordered_motility,dx,,,,,,,
912,diabetic_neuropathy,chronic diarrhea,small_bowel,disordered_motility,dx,,,,,,,
913,hyperthyroidism,chronic diarrhea,small_bowel,disordered_motility,dx,,,,,,,
914,"magnesium,_phosphate,_sulfate",chronic diarrhea,small_bowel,osmotic,dx,,,,,,,
915,carbohydrate_malabsorption,chronic diarrhea,small_bowel,osmotic,dx,,,,,,,
916,lactose_intolerance,chronic diarrhea,small_bowel,osmotic,dx,,,,,,,
917,crohn´s_disease,chronic diarrhea,small_bowel,secretory,mucosal,dx,,,,,,
918,celiac_disease,chronic diarrhea,small_bowel,secretory,mucosal,dx,,,,,,
919,chronic_inflammation,chronic diarrhea,small_bowel,secretory,mucosal,dx,,,,,,
920,whipple´s_disease,chronic diarrhea,small_bowel,secretory,mucosal,dx,,,,,,
921,gastrinoma,chronic diarrhea,small_bowel,secretory,tumors,mucosal,dx,,,,,
922,carcinoid_syndrome,chronic diarrhea,small_bowel,secretory,tumors,mucosal,dx,,,,,
923,mastocytosis,chronic diarrhea,small_bowel,secretory,tumors,mucosal,dx,,,,,
924,adenocarcinoma,chronic diarrhea,small_bowel,secretory,tumors,neoplastic,dx,,,,,
925,lymphoma,chronic diarrhea,small_bowel,secretory,tumors,neoplastic,dx,,,,,
926,pancreatic_insufficiency,chronic diarrhea,steatorrhea,maldigestive,dx,,,,,,,
927,celiac_disease,chronic diarrhea,steatorrhea,malabsorptive,primary_malabsorption,dx,,,,,,
928,mucosal_disease,chronic diarrhea,steatorrhea,malabsorptive,primary_malabsorption,dx,,,,,,
929,ileal_crohn´s_disease,chronic diarrhea,steatorrhea,malabsorptive,primary_malabsorption,dx,,,,,,
930,bacterial_overgrowth,chronic diarrhea,steatorrhea,malabsorptive,secondary_malabsorption,dx,,,,,,
931,liver_cholestasis,chronic diarrhea,steatorrhea,malabsorptive,secondary_malabsorption,dx,,,,,,
932,mesenteric_ischemia,chronic diarrhea,steatorrhea,malabsorptive,secondary_malabsorption,dx,,,,,,
933,short_bowel_/_resection,chronic diarrhea,steatorrhea,malabsorptive,secondary_malabsorption,dx,,,,,,
934,irritable_bowel_syndrome,chronic diarrhea,large_bowel_,motility,dx,,,,,,,
935,hyperthyroid,chronic diarrhea,large_bowel_,motility,dx,,,,,,,
936,inflammatory_bowel_disease,chronic diarrhea,large_bowel_,inflammatory,dx,,,,,,,
937,radiation_colitis,chronic diarrhea,large_bowel_,inflammatory,dx,,,,,,,
938,ischemic_colitis,chronic diarrhea,large_bowel_,inflammatory,dx,,,,,,,
939,villous_adenoma,chronic diarrhea,large_bowel_,secretory,dx,,,,,,,
940,colon_cancer,chronic diarrhea,large_bowel_,secretory,dx,,,,,,,
941,microscopic_colitis,chronic diarrhea,large_bowel_,secretory,dx,,,,,,,
942,fibre,constipation,alterated_bowel_function,diet/lifestyle,dx,,,,,,,
943,calories,constipation,alterated_bowel_function,diet/lifestyle,dx,,,,,,,
944,fluid,constipation,alterated_bowel_function,diet/lifestyle,dx,,,,,,,
945,exercise,constipation,alterated_bowel_function,diet/lifestyle,dx,,,,,,,
946,psychosocial,constipation,alterated_bowel_function,diet/lifestyle,dx,,,,,,,
947,neurally_active_medications,constipation,alterated_bowel_function,medications,dx,,,,,,,
948,cation_related,constipation,alterated_bowel_function,medications,dx,,,,,,,
949,anticholinergic,constipation,alterated_bowel_function,medications,dx,,,,,,,
950,colonic_inertia,constipation,severe_idiopathic,dx,,,,,,,,
951,pelvic_floor_dyssynergia,constipation,severe_idiopathic,outlet_delay_,dx,,,,,,,
952,irritable_bowel,constipation,severe_idiopathic,dx,,,,,,,,
953,hirschsprung´s_disease,constipation,secondary_causes,neurogenic,peripherial,dx,,,,,,
954,autonomic_neuropathy,constipation,secondary_causes,neurogenic,peripherial,dx,,,,,,
955,pseudo-obstruction,constipation,secondary_causes,neurogenic,peripherial,dx,,,,,,
956,multiple_sclerosis,constipation,secondary_causes,neurogenic,central,dx,,,,,,
957,parkinson´s_disease,constipation,secondary_causes,neurogenic,central,dx,,,,,,
958,spnal_cord/sacral/cauda_equina_injury,constipation,secondary_causes,neurogenic,central,dx,,,,,,
959,hypothyroidism,constipation,secondary_causes,non-neurogenic,metabolic,dx,,,,,,
960,hypokalemia,constipation,secondary_causes,non-neurogenic,metabolic,dx,,,,,,
961,hypercalcemia,constipation,secondary_causes,non-neurogenic,metabolic,dx,,,,,,
962,colon_cancer,constipation,secondary_causes,non-neurogenic,colorectal_disease,dx,,,,,,
963,colonic_stricture_(inflammatory_bowel_disease_and_diverticular_disease),constipation,secondary_causes,non-neurogenic,colorectal_disease,dx,,,,,,
964,insufficient_volume/bulk,constipation,neonate/infant,dietary/functional,dx,,,,,,,
965,hirschsprung´s_disease,constipation,neonate/infant,neurologic,dx,,,,,,,
966,imperforate_anus,constipation,neonate/infant,neurologic,dx,,,,,,,
967,anal_atresia,constipation,neonate/infant,neurologic,dx,,,,,,,
968,intestinal_stenosis,constipation,neonate/infant,neurologic,dx,,,,,,,
969,intestinal_atresia,constipation,neonate/infant,neurologic,dx,,,,,,,
970,insufficient_bulk/fluid,constipation,older_child,dietary/functional,dx,,,,,,,
971,withholding,constipation,older_child,dietary/functional,dx,,,,,,,
972,painful,constipation,older_child,dietary/functional,dx,,,,,,,
973,bowel_obstruction,constipation,older_child,anatomic,dx,,,,,,,
974,pseudo-obstruction,constipation,older_child,anatomic,dx,,,,,,,
975,hirschsprung´s_disease,constipation,older_child,neurologic,dx,,,,,,,
976,spinal_cord_lesions,constipation,older_child,neurologic,dx,,,,,,,
977,myotonia_congenita,constipation,older_child,neurologic,dx,,,,,,,
978,guillain-barré_syndrome,constipation,older_child,neurologic,dx,,,,,,,
979,tumors,dysphagia,oropharyngeal_dysphagia,structural,dx,,,,,,,
980,zenker´s_diverticulim,dysphagia,oropharyngeal_dysphagia,structural,dx,,,,,,,
981,foreign_body,dysphagia,oropharyngeal_dysphagia,structural,dx,,,,,,,
982,myasthenia_gravis,dysphagia,oropharyngeal_dysphagia,neuromuscular/toxic/metabolic,dx,,,,,,,
983,cns_tumors,dysphagia,oropharyngeal_dysphagia,neuromuscular/toxic/metabolic,dx,,,,,,,
984,cerebrovascular_accident,dysphagia,oropharyngeal_dysphagia,neuromuscular/toxic/metabolic,dx,,,,,,,
985,multiple_sclerosis,dysphagia,oropharyngeal_dysphagia,neuromuscular/toxic/metabolic,dx,,,,,,,
986,amyotrophic_lateral_sclerosis,dysphagia,oropharyngeal_dysphagia,neuromuscular/toxic/metabolic,dx,,,,,,,
987,polymyositis,dysphagia,oropharyngeal_dysphagia,neuromuscular/toxic/metabolic,dx,,,,,,,
988,esophageal_spam,dysphagia,esophageal_dysphagia,motor_disorder,intermittent_symptoms,dx,,,,,,
989,scleroderma,dysphagia,esophageal_dysphagia,motor_disorder,progressive_symptoms,dx,,,,,,
990,achalasia,dysphagia,esophageal_dysphagia,motor_disorder,progressive_symptoms,dx,,,,,,
991,diabetic_neuropathy,dysphagia,esophageal_dysphagia,motor_disorder,progressive_symptoms,dx,,,,,,
992,schatzki_ring,dysphagia,esophageal_dysphagia,mechanical_obstruction,intermittent_symptoms,dx,,,,,,
993,esophageal_web,dysphagia,esophageal_dysphagia,mechanical_obstruction,intermittent_symptoms,dx,,,,,,
994,eosinophilic_esophagitis,dysphagia,esophageal_dysphagia,mechanical_obstruction,intermittent_symptoms,dx,,,,,,
995,reflux_stricture,dysphagia,esophageal_dysphagia,mechanical_obstruction,progressive_symptoms,dx,,,,,,
996,esophageal_cancer,dysphagia,esophageal_dysphagia,mechanical_obstruction,progressive_symptoms,dx,,,,,,
997,viral,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
998,drugs/toxins,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
999,ischemia,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
1000,autoinmune,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
1001,wilson´s,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
1002,pregnacy_aflp,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
1003,pregnacy_hellp,elevated liver enzymes,hepatocellular,severe_,dx,,,,,,,
1004,viral,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1005,drugs,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1006,aih,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1007,wilson´s,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1008,hemochromatosis,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1009,nafld,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1010,others,elevated liver enzymes,hepatocellular,moderate,dx,,,,,,,
1011,nafld,elevated liver enzymes,hepatocellular,mild_,dx,,,,,,,
1012,alcohol,elevated liver enzymes,hepatocellular,mild_,dx,,,,,,,
1013,viral,elevated liver enzymes,hepatocellular,mild_,dx,,,,,,,
1014,hemochromatosis,elevated liver enzymes,hepatocellular,mild_,dx,,,,,,,
1015,drugs,elevated liver enzymes,hepatocellular,mild_,dx,,,,,,,
