UID,Diagnosis_(DX),Diagnosis_(DX)_Notes,Page,Type,Chief_Sign,Cheif_Sign_Notes,Clinical_Pearl,General_Notes,Life_Threatening,Definitions,Level_1,Level_1_Notes,Level_2,Level_2_Notes,Level_3,Level_3_Notes,Level_4,Level_4_Notes,Level_5,Level_5_Notes,Level_6,Level_6_Notes,Level_7,Level_7_Notes,Level_8,Level_8_Notes,Level_9,Level_9_Notes,Level_10
nan,hemothorax,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",exudate,use light's criteria,pulmonary,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,ruptured_esophagus,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,yes,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",exudate,use light's criteria,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pancreatitis,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",exudate,use light's criteria,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,congestive_heart_failure,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",transudate,use light's criteria,increased_hydrostatic_pressure,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,renal_failure_with_hypervolemia,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",transudate,use light's criteria,increased_hydrostatic_pressure,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,early_pulmonary_embolous,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",transudate,use light's criteria,increased_hydrostatic_pressure,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,cirrhosis,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",transudate,use light's criteria,decreased_oncotic_pressure,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nephrotic_syndrome,nan,37,respiratory,pleural effusion,thoracic ultrasound should be used to perform diagnostic thoracentesis,nan,nan,nan,"(light's criteria: (pleural fluid protein/serum protein >0.5),(pleural fluid lactate dehydrogenase ldh/serum ldh>0.6), pleural fluid ldh>2/3 serum ldh upper limit of normal)",transudate,use light's criteria,decreased_oncotic_pressure,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,idiopathic,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,pulmonary_arterial_hypertension,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,"associated_with:_connective_tissue_disease,portal_hypertension,congenital_heart_disease,_hiv",nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,pulmonary_arterial_hypertension,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,systolic_dysfunction,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,left-sided_heart_disfunction,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,diastolic_dysfunction,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,left-sided_heart_disfunction,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,valvular_dysfunction,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,left-sided_heart_disfunction,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,copd,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,lung_disease_and/or_hypoxemia,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,interstitial_lung_disease,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,lung_disease_and/or_hypoxemia,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,sleep-disordered_breathing,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,lung_disease_and/or_hypoxemia,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,chronic_thromboembolic_disease,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,chronic_thromboembolic_disease,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hematologic_disorders,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,miscellaneous,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,metabolic_disorders,nan,38,respiratory,pulmonary hypertension,nan,nan,nan,nan,nan,miscellaneous,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,acute_bleed,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,blood_loss,nan,normocytic/normochromic_rbcs_on_smear,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,chronic_bleed,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,blood_loss,nan,"any_combination_of:_decreased_reticulocytes,_mcv,mch,mchc,serum_iron,_ferritin_increased,_tibc,_hypochronic_rbcs",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,iron_deficiency,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,decreased_rbc_production,normal/decreased reticulocytes,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,b12/folate_deficiency,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,decreased_rbc_production,normal/decreased reticulocytes,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,aplastic_anemia,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,decreased_rbc_production,normal/decreased reticulocytes,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anemia_of_chronic_disease,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,decreased_rbc_production,normal/decreased reticulocytes,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,marrow_infiltration,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,decreased_rbc_production,normal/decreased reticulocytes,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,rbc_metabolism_disorder,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,increased_rbc_destruction,"increased reticulocytes, increased unconjugated bilirubin, spherocytes on smear",congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hemoglobinopathy,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,increased_rbc_destruction,"increased reticulocytes, increased unconjugated bilirubin, spherocytes on smear",congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,thalassemia,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,increased_rbc_destruction,"increased reticulocytes, increased unconjugated bilirubin, spherocytes on smear",congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,rbc_membrane_disorder,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,increased_rbc_destruction,"increased reticulocytes, increased unconjugated bilirubin, spherocytes on smear",congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,immune,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,increased_rbc_destruction,"increased reticulocytes, increased unconjugated bilirubin, spherocytes on smear",acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,non-immune,nan,41,hematologic,anemia,nan,nan,nan,nan,nan,increased_rbc_destruction,"increased reticulocytes, increased unconjugated bilirubin, spherocytes on smear",acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,iron_deficiency,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,low_mean_corpuscular_volume_(<80fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,thalassemia,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,low_mean_corpuscular_volume_(<80fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,lead_poisoning,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,low_mean_corpuscular_volume_(<80fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anemia_of_chronic_disease,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,low_mean_corpuscular_volume_(<80fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,bleeding,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,normal_mean_corpuscular_volume_(80-100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hemolysis,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,normal_mean_corpuscular_volume_(80-100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,marrow_failure,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,normal_mean_corpuscular_volume_(80-100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anemia_of_chronic_disease,"e.g. renal disease, liver disease, endocrinopathy, chronic inflamation, chronic infection",42,hematologic,anemia,nan,nan,nan,nan,nan,normal_mean_corpuscular_volume_(80-100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,b12_deficiency,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,folate_deficiency,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,drugs,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,reticulocytosis,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,liver_disease,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hypothyroidism,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,myelodysplasia,nan,42,hematologic,anemia,nan,nan,nan,nan,nan,high_mean_corpuscular_volume_(>100_fl),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,drugs,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,normal_blood_smear,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,dietary_deficiency,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_rbc_folate,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,malabsorption,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_rbc_folate,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,increased_requirement,e.g. pregnancy,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_rbc_folate,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pernicious_anemia,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_serum_b12,antibody testing,anti-if_antibodies_present,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,small_bowel_disorder,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_serum_b12,antibody testing,anti-if_antibodies_not_present,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pancreatic_disease,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_serum_b12,antibody testing,anti-if_antibodies_not_present,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,parasites,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_serum_b12,antibody testing,anti-if_antibodies_not_present,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pernicious_anemia,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,oval_macrocytes_hypersegmented_neutrophils,nan,low_serum_b12,antibody testing,anti-if_antibodies_not_present,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,multiple_myeloma,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,rbcs_in_rouleaux_formation,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,myelodysplastic_syndromes,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,dysplastic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,rule_out_b12_deficiency/folate_deficiency,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,macrocytosis_target_cells_normal_wbcs,nan,normal_liver_function_tests,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,liver_disease,nan,43,hematologic,anemia with elevated mean corpuscular volume,rule out reticulocytosis,nan,nan,nan,nan,macrocytosis_target_cells_normal_wbcs,nan,abnormal_liver_function_tests,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,marrow_aplasia,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,decreased_wbcs,nan,decreased/normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,marrow_infiltration,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,decreased_wbcs,nan,decreased/normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,primary_hypersplenism,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,decreased_wbcs,nan,increased_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,secondary,"e.g. ra, sle, prv, chronic",44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,decreased_wbcs,nan,increased_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,acute_bleed,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,increased_reticulocytosis,nan,"polychromatic_macrocytes,_normal_rbcs",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hemolysis,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,increased_reticulocytosis,nan,"polychromatic_macrocytes,_normal_rbcs",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,microangiopathic_hemolytic_anemias,maha,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,increased_reticulocytosis,nan,"polychromatic_macrocytes,_rbc_spherocytes,_rbc_fragments",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hemoglobinopathy,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,increased_reticulocytosis,nan,abnormal_rbcs_,"sickle cells, target cells",dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,renal_failure,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,inflammation,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,cancer,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hypothyroidism,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pregnancy,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,early_iron_deficiency,nan,44,hematologic,anemia with normal mean corpuscular volume,nan,nan,nan,nan,nan,normal/increased_wbcs,nan,normal_reticulocytosis,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,iron_deficiency,"eg causes: dchronic blood loss, occult dbleed, malabsorption, dietary ddeficiency",45,hematologic,anemia with low mean corpuscular volume,decreased heme synthesis or decreased globin synthesis,nan,nan,nan,nan,"ferritin_decreased,_serum_iron_decreased,_tibc_increased","fe/tibc<18%, mcv/rbc>13",dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anemia_secondary_to_ninflammation,nan,45,hematologic,anemia with low mean corpuscular volume,decreased heme synthesis or decreased globin synthesis,nan,nan,nan,nan,"ferritin_normal/increased,serum_iron_decreased,tibc_normal/decreased",fe/tibc>18%,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,β-thalassemia_minor,nan,45,hematologic,anemia with low mean corpuscular volume,decreased heme synthesis or decreased globin synthesis,nan,nan,nan,nan,"ferritin_normal/increased,serum_iron_normal,tibc_normal","mcv/rbc<13,+/- basophilic stippling, +/- increased reticulocytes","increased_hgba2,_normal_hgba",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,β-thalassemia_major,nan,45,hematologic,anemia with low mean corpuscular volume,decreased heme synthesis or decreased globin synthesis,nan,nan,nan,nan,"ferritin_normal/increased,serum_iron_normal,tibc_normal","mcv/rbc<13,+/- basophilic stippling, +/- increased reticulocytes","increased_hgba2,_increased_hgbf,_no_hgba",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,α-thalassemia_2-3_digene_deletion,nan,45,hematologic,anemia with low mean corpuscular volume,decreased heme synthesis or decreased globin synthesis,nan,nan,nan,nan,"ferritin_normal/increased,serum_iron_normal,tibc_normal","mcv/rbc<13,+/- basophilic stippling, +/- increased reticulocytes","increased_hgbh,_hgbh_inclusions_in_rbc",nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,other,"hgbe,hgbc,etc.",45,hematologic,anemia with low mean corpuscular volume,decreased heme synthesis or decreased globin synthesis,nan,nan,nan,nan,"ferritin_normal/increased,serum_iron_normal,tibc_normal","mcv/rbc<13,+/- basophilic stippling, +/- increased reticulocytes",other,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,decreased_production,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,platelets,nan,thrombocytopenia,quantitative defect,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,increased_destruction,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,platelets,nan,thrombocytopenia,quantitative defect,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,abnormal_sequestration,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,platelets,nan,thrombocytopenia,quantitative defect,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,congenital,rare,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,platelets,nan,disordered_platelet_function,qualitative defect,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,drugs,e.g. asa,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,platelets,nan,disordered_platelet_function,qualitative defect,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,renal_disease,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,platelets,nan,disordered_platelet_function,qualitative defect,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,connective_tissue_disorders,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,vascular_system,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hereditary_ii_telangiectasia,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,vascular_system,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,steroids,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,vascular_system,nan,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,vasculitis,nan,46,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,vascular_system,nan,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,factor_viii_deficiency,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,factor_ix_deficiency,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,von_willebrand's_disease,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,other_deficiencies,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anticoagulation,latrogenic,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,liver_disease,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,vitamin_k_deficiency,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,diseeminated_intravascular_coagulation,nan,47,hematologic,bleeding/bruising,nan,nan,nan,nan,nan,coagulation_proteins,nan,acquired,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,factor_x_congenital_deficiency,nan,48,hematologic,"long pt (inr), long ptt",nan,nan,"(pt more sensitive to vitamin k deficiency, therefore pt used for monitoring coumadin therapy (ptt only affected in very severe cases)),(ptt more sensitive to heparin; therefore ptt used for monitoring heparin therapy(pt only affected in very severe cases))",nan,nan,factor_deficiency,nan,congenital,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
